category	brand	name	fit	fabric	price	retailer	url	best	notes	slug	colors
Scrub Sets	FIGS	THE SET — Catarina + Isabel Wide-Leg	Slim top + high-rise wide leg	FIONx™		FIGS	https://www.wearfigs.com/products/womens-isabel-scrub-pants?color=Black	Wide-leg set	Pair the Catarina One-Pocket Scrub Top with Isabel High-Rise Wide-Leg Scrub Pants. Select a color preview; availability varies.	the-set-wide-leg	Black|Navy|Ceil Blue|Moss|Burgundy
Jackets	FIGS	Slim ContourKnit™ Jacket	Slim	ContourKnit™		FIGS	https://www.wearfigs.com/search?q=Slim%20ContourKnit%20Jacket	Structured layering	A polished women’s layer designed for movement before, during, and after a shift.		
Jackets	FIGS	Slim Sydney Scrub Jacket	Slim	FIONx™		FIGS	https://www.wearfigs.com/search?q=Slim%20Sydney%20Scrub%20Jacket	Classic scrub jacket	A breathable work layer with practical storage and a clean professional silhouette.		
Underscrubs	FIGS	Slim Longsleeve Underscrub	Slim	Stretch jersey		FIGS	https://www.wearfigs.com/search?q=Slim%20Longsleeve%20Underscrub	Everyday base layer	A close-fitting long-sleeve layer that sits smoothly beneath scrub tops.		
Underscrubs	FIGS	Slim Salta Seamless Longsleeve Underscrub	Slim	Seamless knit		FIGS	https://www.wearfigs.com/search?q=Slim%20Salta%20Seamless%20Longsleeve%20Underscrub	Seamless comfort	A streamlined seamless layer for warmth without bulky seams.		
Scrub Tops	FIGS	Slim Catarina One-Pocket Scrub Top	Slim	FIONx™		FIGS	https://www.wearfigs.com/search?q=Slim%20Catarina%20One-Pocket%20Scrub%20Top	Minimal essential	The signature single-pocket V-neck top with a clean, fitted profile.		
Scrub Tops	FIGS	Slim Casma Three-Pocket Scrub Top	Slim	FIONx™		FIGS	https://www.wearfigs.com/search?q=Slim%20Casma%20Three-Pocket%20Scrub%20Top	More pocket space	A fitted V-neck top with additional front storage for shift essentials.		
Scrub Tops	FIGS	Slim Rafaela Oversized Scrub Top	Oversized	FIONx™		FIGS	https://www.wearfigs.com/search?q=Slim%20Rafaela%20Oversized%20Scrub%20Top	Relaxed statement	A modern mandarin-collar silhouette with a looser, fashion-forward shape.		
Scrub Tops	FIGS	Slim Scoop Neck Scrub Top	Slim	FIONx™		FIGS	https://www.wearfigs.com/search?q=Slim%20Scoop%20Neck%20Scrub%20Top	Soft neckline	A minimal scoop-neck option for a softer alternative to a traditional V-neck.		
Scrub Pants	FIGS	Slim Zamora Jogger Scrub Pants	Slim jogger	FIONx™		FIGS	https://www.wearfigs.com/search?q=Slim%20Zamora%20Jogger%20Scrub%20Pants	Signature jogger	A tapered jogger with an elastic cuff and practical pocket layout.		
Scrub Pants	FIGS	Slim High Waisted Zamora Jogger Scrub Pants	High-rise jogger	FIONx™		FIGS	https://www.wearfigs.com/search?q=Slim%20High%20Waisted%20Zamora%20Jogger%20Scrub%20Pants	High-rise jogger	A higher-waisted version of the Zamora silhouette for secure all-day wear.		
Scrub Pants	FIGS	Slim Yola Skinny Scrub Pants	Slim straight	FIONx™		FIGS	https://www.wearfigs.com/search?q=Slim%20Yola%20Skinny%20Scrub%20Pants	Tailored leg	A clean, narrow-leg pant that creates a more tailored uniform profile.		
Scrub Pants	FIGS	Slim Cargo Scrub Pants	Slim cargo	FIONx™		FIGS	https://www.wearfigs.com/search?q=Slim%20Cargo%20Scrub%20Pants	Maximum utility	A modern cargo silhouette for users who prioritize accessible storage.		
