brand	name	focal	aperture	price	tier	url
Sony	FE 14mm f/1.8 GM	14mm	f/1.8	1698	Tier 1: Uncompromising Professional	https://www.bhphotovideo.com/c/product/1635847-REG/sony_sel14f14gm_fe_24mm_f_1_4_gm.html
Sony	FE 20mm f/1.8 G	20mm	f/1.8	998	Tier 2: Enthusiast / Pro-Value	https://www.bhphotovideo.com/c/product/1549627-REG/sony_sel20f18g_fe_20mm_f_1_8_g.html
Sony	FE 24mm f/1.4 GM	24mm	f/1.4	1598	Tier 1: Uncompromising Professional	https://www.bhphotovideo.com/c/product/1435887-REG/sony_fe_24mm_f_1_4_gm.html
Sigma	24mm f/1.4 DG DN Art	24mm	f/1.4	879	Tier 2: Enthusiast / Pro-Value	https://www.bhphotovideo.com/c/product/1719339-REG/sigma_24mm_f_1_4_dg_dn.html
Viltrox	AF 24mm f/1.8 E	24mm	f/1.8	379	Tier 3: Budget Performers	https://www.samys.com/p/Wide-Angle-Lenses/AF-24/1.8-FE/Viltrox-AF-24mm-f/1.8-Lens-for-Sony-E/266263.html?origin=product-search
Sony	FE 35mm f/1.4 GM	35mm	f/1.4	1498	Tier 1: Uncompromising Professional	https://www.bhphotovideo.com/c/product/1613424-REG/sony_fe35f14gm_fe_35mm_f_1_4_gm.html
Sony	FE 35mm f/1.8	35mm	f/1.8	798	Tier 2: Enthusiast / Pro-Value	https://www.bhphotovideo.com/c/product/1492866-REG/sony_sel35f18f_35mm_f_1_8_fe_lens.html
Sigma	35mm f/1.4 DG DN Art	35mm	f/1.4	1059	Tier 2: Enthusiast / Pro-Value	https://www.bhphotovideo.com/c/product/1953414-REG/sigma_304965_35mm_f_1_4_dg_ii.html
Viltrox	AF 35mm f/1.8 FE	35mm	f/1.8	999	Tier 3: Budget Performers	https://www.bhphotovideo.com/c/product/1883305-REG/viltrox_af_35_1_2_fe_e_mount_af_35mm_f_1_2_fe.html
Sony	FE 50mm f/1.2 GM	50mm	f/1.2	2298	Tier 1: Uncompromising Professional	https://www.bhphotovideo.com/c/product/1630079-REG/sony_sel50f12gm_fe_50mm_f_1_2_gm.html
